customer_id,customer_name,region
321,Customer 0321,South
322,Customer 0322,West
323,Customer 0323,North
324,Customer 0324,South
325,Customer 0325,East
326,Customer 0326,West
327,Customer 0327,South
328,Customer 0328,East
329,Customer 0329,South
330,Customer 0330,North
331,Customer 0331,West
332,Customer 0332,North
333,Customer 0333,West
334,Customer 0334,South
335,Customer 0335,South
336,Customer 0336,West
337,Customer 0337,East
338,Customer 0338,East
339,Customer 0339,South
340,Customer 0340,South
341,Customer 0341,North
342,Customer 0342,South
343,Customer 0343,West
344,Customer 0344,East
345,Customer 0345,East
346,Customer 0346,North
347,Customer 0347,East
348,Customer 0348,East
349,Customer 0349,West
350,Customer 0350,East
351,Customer 0351,North
352,Customer 0352,North
353,Customer 0353,East
354,Customer 0354,South
355,Customer 0355,East
356,Customer 0356,North
357,Customer 0357,North
358,Customer 0358,West
359,Customer 0359,East
360,Customer 0360,East
361,Customer 0361,West
362,Customer 0362,North
363,Customer 0363,West
364,Customer 0364,South
365,Customer 0365,East
366,Customer 0366,North
367,Customer 0367,West
368,Customer 0368,North
369,Customer 0369,South
370,Customer 0370,East
371,Customer 0371,West
372,Customer 0372,North
373,Customer 0373,East
374,Customer 0374,East
375,Customer 0375,North
376,Customer 0376,East
377,Customer 0377,East
378,Customer 0378,West
379,Customer 0379,East
380,Customer 0380,West
381,Customer 0381,East
382,Customer 0382,South
383,Customer 0383,South
384,Customer 0384,West
385,Customer 0385,West
386,Customer 0386,South
387,Customer 0387,East
388,Customer 0388,West
389,Customer 0389,North
390,Customer 0390,East
391,Customer 0391,East
392,Customer 0392,South
393,Customer 0393,West
394,Customer 0394,East
395,Customer 0395,West
396,Customer 0396,West
397,Customer 0397,West
398,Customer 0398,South
399,Customer 0399,West
400,Customer 0400,South
401,Customer 0401,North
402,Customer 0402,East
403,Customer 0403,East
404,Customer 0404,North
405,Customer 0405,South
406,Customer 0406,East
407,Customer 0407,South
408,Customer 0408,South
409,Customer 0409,South
410,Customer 0410,North
411,Customer 0411,North
412,Customer 0412,South
413,Customer 0413,West
414,Customer 0414,North
415,Customer 0415,West
416,Customer 0416,West
417,Customer 0417,South
418,Customer 0418,West
419,Customer 0419,West
420,Customer 0420,West
421,Customer 0421,South
422,Customer 0422,South
423,Customer 0423,North
424,Customer 0424,North
425,Customer 0425,West
426,Customer 0426,South
427,Customer 0427,South
428,Customer 0428,West
429,Customer 0429,North
430,Customer 0430,South
431,Customer 0431,North
432,Customer 0432,West
433,Customer 0433,South
434,Customer 0434,West
435,Customer 0435,East
436,Customer 0436,West
437,Customer 0437,West
438,Customer 0438,West
439,Customer 0439,South
440,Customer 0440,West
441,Customer 0441,West
442,Customer 0442,East
443,Customer 0443,South
444,Customer 0444,East
445,Customer 0445,West
446,Customer 0446,South
447,Customer 0447,East
448,Customer 0448,West
449,Customer 0449,North
450,Customer 0450,East
451,Customer 0451,South
452,Customer 0452,East
453,Customer 0453,East
454,Customer 0454,East
455,Customer 0455,North
456,Customer 0456,South
457,Customer 0457,South
458,Customer 0458,South
459,Customer 0459,West
460,Customer 0460,South
461,Customer 0461,South
462,Customer 0462,North
463,Customer 0463,West
464,Customer 0464,West
465,Customer 0465,East
466,Customer 0466,West
467,Customer 0467,West
468,Customer 0468,North
469,Customer 0469,South
470,Customer 0470,West
471,Customer 0471,West
472,Customer 0472,North
473,Customer 0473,West
474,Customer 0474,West
475,Customer 0475,North
476,Customer 0476,East
477,Customer 0477,East
478,Customer 0478,West
479,Customer 0479,West
480,Customer 0480,South
481,Customer 0481,West
482,Customer 0482,South
483,Customer 0483,East
484,Customer 0484,West
485,Customer 0485,West
486,Customer 0486,North
487,Customer 0487,West
488,Customer 0488,East
489,Customer 0489,West
490,Customer 0490,South
491,Customer 0491,West
492,Customer 0492,South
493,Customer 0493,North
494,Customer 0494,West
495,Customer 0495,North
496,Customer 0496,North
497,Customer 0497,West
498,Customer 0498,South
499,Customer 0499,West
500,Customer 0500,South
